	time	V(na)	V(nt)	I(Rgnd)	I(Rrad)	power
351	1970-01-01 00:00:00.000000351	0.0963461157633152	0.25666797213379006	0.01338140493921687	3.281556337450265e-07	1.919165913370891e-10
352	1970-01-01 00:00:00.000000352	0.09664113253106583	0.25721098837177975	0.013422379509345007	3.258342149131638e-07	1.9146533484534953e-10
353	1970-01-01 00:00:00.000000353	0.0969365223755656	0.25775712645032756	0.013463405876612414	3.282553679450969e-07	1.9078358114787862e-10
354	1970-01-01 00:00:00.000000354	0.09723209882305113	0.25830077115221733	0.013504458164786393	3.2006942490921163e-07	1.906885675188152e-10
355	1970-01-01 00:00:00.000000355	0.09752721773576603	0.2588647426714508	0.013545446892559746	3.1914260939560623e-07	1.905557598768253e-10
356	1970-01-01 00:00:00.000000356	0.09782322016523598	0.25941453743426185	0.013586558347979507	3.1243222061220784e-07	1.9038214299895382e-10
357	1970-01-01 00:00:00.000000357	0.09811822945722515	0.25997518340504827	0.013627531843469423	3.1443108171004574e-07	1.902604663492043e-10
358	1970-01-01 00:00:00.000000358	0.09841419336681372	0.26052608380047504	0.01366863793654564	3.1117410443573123e-07	1.897831713258431e-10
359	1970-01-01 00:00:00.000000359	0.09870986064282328	0.26108231703583284	0.013709702852401274	3.146347201666328e-07	1.8996498562825012e-10
360	1970-01-01 00:00:00.000000360	0.09900514727300416	0.2616365712545264	0.013750714898981354	3.2696795103590647e-07	1.901465851302568e-10
361	1970-01-01 00:00:00.000000361	0.09930135118362383	0.26218958494798	0.01379185432441562	3.2014510159421027e-07	1.901137724904694e-10
362	1970-01-01 00:00:00.000000362	0.09959787156639109	0.26273284143074066	0.013833037699679434	3.096852263137169e-07	1.9023933495106784e-10
363	1970-01-01 00:00:00.000000363	0.0998941105885722	0.26328637369786406	0.013874182027828313	3.08239906877232e-07	1.901098079431533e-10
364	1970-01-01 00:00:00.000000364	0.10019109860952125	0.2638263747121406	0.013915430356878325	2.993417654568716e-07	1.9037725041660225e-10
365	1970-01-01 00:00:00.000000365	0.10048703986018687	0.2643925322645695	0.013956533319553674	3.093061610437252e-07	1.8995532078953027e-10
366	1970-01-01 00:00:00.000000366	0.10078207104796331	0.264965167403019	0.01399750988988185	3.3382563634802357e-07	1.8976990420570398e-10
367	1970-01-01 00:00:00.000000367	0.10107862071719804	0.26551600248980683	0.014038697316021656	3.33067586002189e-07	1.896035144286296e-10
368	1970-01-01 00:00:00.000000368	0.10137544847556916	0.26607398700572493	0.014079923400679005	3.4000031209426174e-07	1.8971075430276262e-10
369	1970-01-01 00:00:00.000000369	0.10167111313664084	0.2666631265567826	0.014120987944618427	3.6593782257784735e-07	1.9015191984225902e-10
370	1970-01-01 00:00:00.000000370	0.10196675865835657	0.26722799269476794	0.014162049808430376	3.7873457226931277e-07	1.9027584631978925e-10
